Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2020-05-06,2020,5,6,Wednesday,2,19,False
2020-05-07,2020,5,7,Thursday,2,19,False
2020-05-08,2020,5,8,Friday,2,19,False
2020-05-09,2020,5,9,Saturday,2,19,True
2020-05-10,2020,5,10,Sunday,2,19,True
2020-05-11,2020,5,11,Monday,2,20,False
2020-05-12,2020,5,12,Tuesday,2,20,False
2020-05-13,2020,5,13,Wednesday,2,20,False
2020-05-14,2020,5,14,Thursday,2,20,False
2020-05-15,2020,5,15,Friday,2,20,False
2020-05-16,2020,5,16,Saturday,2,20,True
2020-05-17,2020,5,17,Sunday,2,20,True
2020-05-18,2020,5,18,Monday,2,21,False
2020-05-19,2020,5,19,Tuesday,2,21,False
2020-05-20,2020,5,20,Wednesday,2,21,False
2020-05-21,2020,5,21,Thursday,2,21,False
2020-05-22,2020,5,22,Friday,2,21,False
2020-05-23,2020,5,23,Saturday,2,21,True
2020-05-24,2020,5,24,Sunday,2,21,True
2020-05-25,2020,5,25,Monday,2,22,False
2020-05-26,2020,5,26,Tuesday,2,22,False
2020-05-27,2020,5,27,Wednesday,2,22,False
2020-05-28,2020,5,28,Thursday,2,22,False
2020-05-29,2020,5,29,Friday,2,22,False
2020-05-30,2020,5,30,Saturday,2,22,True
2020-05-31,2020,5,31,Sunday,2,22,True
2020-06-01,2020,6,1,Monday,2,23,False
2020-06-02,2020,6,2,Tuesday,2,23,False
2020-06-03,2020,6,3,Wednesday,2,23,False
2020-06-04,2020,6,4,Thursday,2,23,False
2020-06-05,2020,6,5,Friday,2,23,False
2020-06-06,2020,6,6,Saturday,2,23,True
2020-06-07,2020,6,7,Sunday,2,23,True
2020-06-08,2020,6,8,Monday,2,24,False
2020-06-09,2020,6,9,Tuesday,2,24,False
2020-06-10,2020,6,10,Wednesday,2,24,False
2020-06-11,2020,6,11,Thursday,2,24,False
2020-06-12,2020,6,12,Friday,2,24,False
2020-06-13,2020,6,13,Saturday,2,24,True
2020-06-14,2020,6,14,Sunday,2,24,True
2020-06-15,2020,6,15,Monday,2,25,False
2020-06-16,2020,6,16,Tuesday,2,25,False
2020-06-17,2020,6,17,Wednesday,2,25,False
2020-06-18,2020,6,18,Thursday,2,25,False
2020-06-19,2020,6,19,Friday,2,25,False
2020-06-20,2020,6,20,Saturday,2,25,True
2020-06-21,2020,6,21,Sunday,2,25,True
2020-06-22,2020,6,22,Monday,2,26,False
2020-06-23,2020,6,23,Tuesday,2,26,False
2020-06-24,2020,6,24,Wednesday,2,26,False
2020-06-25,2020,6,25,Thursday,2,26,False
2020-06-26,2020,6,26,Friday,2,26,False
2020-06-27,2020,6,27,Saturday,2,26,True
2020-06-28,2020,6,28,Sunday,2,26,True
2020-06-29,2020,6,29,Monday,2,27,False
2020-06-30,2020,6,30,Tuesday,2,27,False
2020-07-01,2020,7,1,Wednesday,3,27,False
2020-07-02,2020,7,2,Thursday,3,27,False
2020-07-03,2020,7,3,Friday,3,27,False
2020-07-04,2020,7,4,Saturday,3,27,True
2020-07-05,2020,7,5,Sunday,3,27,True
2020-07-06,2020,7,6,Monday,3,28,False
2020-07-07,2020,7,7,Tuesday,3,28,False
2020-07-08,2020,7,8,Wednesday,3,28,False
2020-07-09,2020,7,9,Thursday,3,28,False
2020-07-10,2020,7,10,Friday,3,28,False
2020-07-11,2020,7,11,Saturday,3,28,True
2020-07-12,2020,7,12,Sunday,3,28,True
2020-07-13,2020,7,13,Monday,3,29,False
2020-07-14,2020,7,14,Tuesday,3,29,False
2020-07-15,2020,7,15,Wednesday,3,29,False
2020-07-16,2020,7,16,Thursday,3,29,False
2020-07-17,2020,7,17,Friday,3,29,False
